年分,標號,月標號,月份,2015,2014,企業完整名稱,統一編號,產業類別,所有權,股票代碼,所屬國家,地區,地址,聯絡信箱,聯絡電話,CSR網址,CSR報告網址,CSR社群媒體,報告書名稱,報告書類別,負責單位,出版次數,頁數,資訊揭露期間,上一次報告的出版年份?yyyy?,"報告週期?1, 2, 3, 4, 5?",報告框架,GRI行業補充指南,驗證單位,依循選項,保證標準,保證等級,"是否有指標對照表?0, 1, NA?",國家數量?#?,據點數量?#?, 男性總人數?#? , 女性總人數?#? ,工會,基金會,基金會_1,強制,編製狀態,食品相關產業
2016,232,100,11,1,0,台灣蠟品股份有限公司,22625269,化學工業,上櫃,1742,台灣,嘉義,嘉義縣民雄工業區中正路一號,twx6688@ms26.hinet.net,05-2219180,http://www.wax.com.tw/,http://www.wax.com.tw/node/97,0,2015年企業社會責任報告書,企業社會責任報告,高層辦公室（董事長室、總經理室...）,2,67,2015.01~2015.12,2014,1,GRI G4,無使用補充指南,無驗證單位,無應用等級,無保證標準,無保證等級,1,2,2,50,21,0,0,0,傳產,強制,0
2016,233,101,11,1,0,第一產物保險股份有限公司,3359109,金融業,上市,2852,台灣,台北,臺北市中正區忠孝東路一段54號11樓 ,finance@firstins.com.tw,02-2391-3271 #2168 ,https://www.firstins.com.tw/kyc/recruits/welfare.htm#,https://www.firstins.com.tw/kyc/recruits/welfare.htm#,0,2015年第一產物保險股份有限公司企業社會責任報告書,企業社會責任報告,企業社會責任委員會,2,39,2015.01~2015.12,2015,1,GRI G4,金融財務,無驗證單位,Core(核心）,無保證標準,無保證等級,1,1,37,466,342,0,0,0,金融,強制,0
2016,234,102,11,0,0,健鼎科技股份有限公司,86379707,電子零組件,上市,3044,台灣,桃園,桃園縣平鎮市平鎮工業區工業五路21號,alecklin@tripod-tech.com,02-2702-3999,http://www.tripod-tech.com/ch/main5-1.asp?menu1=6,http://www.tripod-tech.com/upload/%E5%81%A5%E9%BC%8E%E4%BC%81%E6%A5%AD%E8%B2%AC%E4%BB%BB%E5%A0%B1%E5%91%8A1.pdf,0,企業社會責任報告,企業社會責任報告,未註明負責單位,1,41,N/A,第一次出版,1,無框架,無使用補充指南,無驗證單位,無應用等級,無保證標準,無保證等級,0,NA,NA,,,0,1,健鼎教育關懷基金會,0,自願,0
2016,235,103,11,1,0,國精化學股份有限公司,75975242,化學工業,上市,4722,台灣,高雄,高雄市永安區維新里永工五路2號,ytho@qualipoly.com.tw,07-623-6199,http://www.qualipoly.com/style/frame/templates16/quality.asp?lang=1&customer_id=1948&content_set=color_1&name_id=139856&Directory_ID=2833,http://www.qualipoly.com/style/frame/templates16/quality.asp?lang=1&customer_id=1948&content_set=color_1&name_id=139856&Directory_ID=2833,N/A,2015企業社會責任報告書,企業社會責任報告,財務／稽核部門,2,29,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,無驗證單位,Core(核心）,無保證標準,無保證等級,1,2,5,250,44,0,0,0,傳產,強制,0
2016,236,104,11,1,0,新光合成纖維股份有限公司,7435515,紡織纖維,上市,1409,台灣,台北,台北市南京東路二段123號14樓,ssfc@shinkong.com.tw,02-2507-1251,http://www.shinkong.com.tw/files/investors/092015CSR%E5%AE%9A%E6%A1%88%E7%89%88.pdf,http://www.shinkong.com.tw/front/investors,0,2015新光合纖企業社會責任報告書,企業社會責任報告,企業社會責任委員會,2,114,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,無驗證單位,Core(核心）,無保證標準,無保證等級,1,3,3,"1,513",353,0,0,0,傳產,強制,0
2016,237,105,11,1,1,群創光電股份有限公司,12800225,光電業,上市,3481,台灣,新竹,新竹科學工業園區竹南園區苗栗縣竹南鎮科學路160號,,06-505-1888,http://www.innolux.com/Pages/TW/CSR_TW.html,http://www.innolux.com/Pages/TW/CSR/Report_Download_TW.html,,企業社會責任報告書2015,企業社會責任報告,企業社會責任單位,8,100,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,SGS,Comprehensive（全面）,AA1000,AA 1000第2類型 高度保證等級,1,7,22,"2,823","1,610",0,1,群創教育基金會,科技,自願,0
2016,238,106,11,1,1,關貿網路股份有限公司,97162640,資訊服務業,上市,6183,台灣,台北,台北市南港區三重路19-13號6號,gordan.chang@tradevan.com.tw,886-2-26551188 ,http://www.trade-van.com/responsibility/index.do?act=success&type=1,http://www.trade-van.com/responsibility/index.do?act=download&type=8,0,關貿網路企業社會責任報告書,企業社會責任報告,企業社會責任委員會,4,86,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,無驗證單位,無應用等級,無保證標準,無保證等級,1,2,4,277,205,0,0,0,0,自願,0
2016,239,107,11,1,1,京元電子股份有限公司,22507241,半導體,上市,2449,台灣,新竹,新竹市公道五路二段81號,invest@kyec.com.tw,03-5751888,http://www.kyec.com.tw/csr/csr_president.aspx,http://www.kyec.com.tw/csr/csrreport.aspx,0,企業社會責任報告書,企業社會責任報告,財務／稽核部門,3,87,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,無驗證單位,Core(核心）,自我宣告AA1000,無保證等級,1,5,N/A,"2,764","2,227",0,0,0,科技,自願,0
2016,240,108,11,1,1,康舒科技股份有限公司,12341051,電子零組件,上市,6282,台灣,新北,新北市淡水區淡金路三段159號,Acbel-CSRTW@apitech.com.tw,02-2621-7672,http://csr.acbel.com.tw/Web/Default.aspx,http://csr.acbel.com.tw/Web/CSRDownload.aspx,0,企業社會責任報告書,企業社會責任報告,企業社會責任單位,6,123,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,SGS,Core(核心）,AA1000,AA 1000第1類型 中度保證等級,1,15,30,"5,196","3,369",0,0,0,0,自願,0
2016,241,109,11,0,0,新普科技股份有限公司,86620351,電腦及週邊,上櫃,6121,台灣,新竹,新竹縣湖口鄉八德路二段471號,,,http://www.simplo.com.tw/cht/socialResp.htm,http://www.simplo.com.tw/cht/socialResp.htm,,新普科技社會責任報告,社會責任報告,未註明負責單位,1,28,N/A,第一次出版,1,無框架,無使用補充指南,無驗證單位,無應用等級,無保證標準,無保證等級,0,N/A,N/A,,,0,0,,0,自願,0
2016,242,110,11,0,0,旭富製藥科技股份有限公司,22662545,生技醫療,上市,4119,台灣,桃園,桃園市蘆竹區海湖里16鄰海湖北路309巷61號,ricky.liu0883@sci-pharmtech.com.tw,03-354-3133 #413,http://www.sci-pharmtech.com.tw/csr/cmp.html,0,0,永續報告書,企業永續報告/永續發展報告,企業社會責任單位,2,103,2014.01~2015.12,2014,2,GRI G4,無使用補充指南,無驗證單位,Core(核心）,無保證標準,無保證等級,1,N/A,N/A,183,38,0,0,0,0,自願,0
2016,243,111,11,1,0,太平洋醫材股份有限公司,20765714,生技醫療,上櫃,4126,台灣,苗栗,苗栗縣銅鑼鄉自強路19號,denice@pahsco.com.tw,02-28955050,http://tw.pahsco.com.tw/website-93,http://tw.pahsco.com.tw/website-93,0,太平洋醫材股份有限公司 2015年企業社會責任報告書,企業社會責任報告,未註明負責單位,6,91,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,無驗證單位,無應用等級,無保證標準,無保證等級,1,1,6,165,525,0,0,0,0,自願,0
2016,244,112,11,1,0,群益期貨股份有限公司,97176335,金融業,上櫃,6024,台灣,台北,台北市大安區敦化南路2段97號地下1樓,dan_chen@capital.com.tw,02-2700-2888,https://www.capitalfutures.com.tw/Capitalgroup/activities.asp?xy=16&xt=1,https://www.capitalfutures.com.tw/Capitalgroup/activities.asp?xy=16&xt=1,0,2015 企業社會責任報告書,企業社會責任報告,其他單位,2,65,2015.01~2015.12,2014,1,GRI G4,金融財務,無驗證單位,無應用等級,無保證標準,無保證等級,1,1,1,105,97,0,0,0,金融,強制,0
2016,245,113,11,1,0,新美齊股份有限公司,22006274,電腦及週邊,上市,2442,台灣,台北,台北市內湖區陽光街300號7樓,jesse.lin@mail.jean.com.tw,02-55828168,http://www.jean.com.tw/responsibility.php,http://www.jean.com.tw/responsibility.php,0,2015企業永續報告書,企業社會責任報告,永續發展委員會,2,74,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,無驗證單位,Core(核心）,無保證標準,無保證等級,1,1,1,13,13,0,0,0,0,自願,0
2016,246,114,11,1,0,新光產物保險股份有限公司,3458403,金融業,上市,2850,台灣,台北,台北市中山區建國北路二段15號,stock@skinsurance.com.tw ,02-2507-5335 #299 ,https://www.skinsurance.com.tw/SKI/Doc.aspx?uID=81&sID=1837&ST=,https://www.skinsurance.com.tw/SKI/Doc.aspx?uID=83&sID=&ST=,https://www.facebook.com/ShinkongIns,2015年新光產物保險股份有限公司企業社會責任報告書,企業社會責任報告,未註明負責單位,2,89,2015.01~2015.12,2015,1,GRI G4,金融財務,無驗證單位,Core(核心）,自我宣告AA1000,無保證等級,1,1,63,876,686,0,0,0,金融,強制,0
2016,247,115,11,1,1,華東科技股份有限公司,22101116,半導體,上市,8110,台灣,高雄,高雄市高雄加工出口區北一路18號,csr@walton.com.tw,07-8111-330,http://www.walton.com.tw/modules.php?name=Walton&op=social_respond&file=Social_R&lang=ch,http://www.walton.com.tw/modules.php?name=Walton&op=social_respond&file=Liability_B&lang=ch,0,企業社會責任報告書,企業社會責任報告,未註明負責單位,5,55,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,無驗證單位,無應用等級,無保證標準,無保證等級,1,2,2,504,"1,386",0,0,0,0,自願,0
2016,248,116,11,1,0,振發實業股份有限公司,35320697,電腦及週邊,上櫃,5426,台灣,新北,新北市三重區光復路二段25號,roger@chengfwa.com.tw,02-2995-1436 #281 ,http://www.chengfwa.com.tw/tw/zr.php,http://www.chengfwa.com.tw/tw/zr.php?mid=137,0,2015企業社會責任報告書,企業社會責任報告,未註明負責單位,1,84,2015.01~2015.12,第一次出版,1,GRI G3.1,無使用補充指南,無驗證單位,無應用等級,無保證標準,無保證等級,1,3,5,214,117,0,0,0,0,自願,0
2016,249,117,11,1,1,元大金融控股股份有限公司,70796749,金融業,上市,2885,台灣,台北,台北市松山區敦化南路1段66號4樓、10樓、12樓及13樓,CSR.fhc@yuanta.com,02-2781-1999,http://www.yuanta.com/Content/User/Image/ir0112/2015%E4%BC%81%E6%A5%AD%E7%A4%BE%E6%9C%83%E8%B2%AC%E4%BB%BB%E5%A0%B1%E5%91%8A%E6%9B%B8%E4%B8%AD%E6%96%87%E7%89%88.pdf,http://www.yuanta.com/tw/IR02/IR0112/,0,2015元大金控企業社會責任報告書,企業社會責任報告,企業社會責任單位,6,98,2015.01~2015.12,2015,1,GRI G4,金融財務,BSI,Core(核心）,AA1000,AA 1000第1類型 中度保證等級,1,8,404,"3,540","6,498",0,1,元大文教基金會,金融,自願,0
2016,250,118,11,1,1,豐泰企業股份有限公司,63400932,其他,上市,9910,台灣,雲林,雲林縣斗六市科工八路52號, amy.chen@fengtay.com,05-537-9100,http://www.fengtay.com/chinese/02_envirn/00_overview.aspx,http://www.fengtay.com/chinese/02_envirn/05_download.aspx?eid=6,N/A,豐泰企業2015企業社會責任報告書,企業社會責任報告,企業社會責任單位,6,50,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,無驗證單位,Core(核心）,無保證標準,無保證等級,1,5,17,"33,278","68,179",0,1,豐泰文教基金會,0,自願,0
2016,251,119,11,1,1,台灣晶技股份有限公司,21204867,電子零組件,上市,3042,台灣,台北,台北市北投區中央南路二段十六號四樓,vivien@txc.com.tw,02-25865859,http://www.txccorp.com/index.php?action=f_social_1&cid=1,http://www.txccorp.com/index.php?action=f_social_1&cid=6,0,企業社會責任報告書,企業社會責任報告,企業社會責任委員會,8,112,2015.01~2015.12,2014,1,GRI G4,無使用補充指南,BSI,Comprehensive（全面）,AA1000,AA 1000第1類型 中度保證等級,1,2,4,337,534,0,0,0,0,自願,0
2016,252,120,11,1,0,信昌電子陶瓷股份有限公司,23641338,電子零組件,上櫃,6173,台灣,桃園,桃園市楊梅區高獅路566-1號,summer_lou@pdc.com.tw,03-475-3355,http://www.pdc.com.tw/care/care.html,http://www.pdc.com.tw/images/2015csr.pdf,N/A,"信昌電子陶瓷股份有限公司
2015年企業社會責任報告書",企業社會責任報告,企業社會責任委員會,1,79,2015.01~2015.12,第一次出版,1,GRI G4,無使用補充指南,無驗證單位,無應用等級,無保證標準,無保證等級,1,2,6,464,865,1,1,PSA基金會,0,自願,0
2016,253,121,11,1,0,長榮航空股份有限公司,23225229,航運業,上市,2618,台灣,桃園,桃園市蘆竹區新南路一段376號,csr@evaair.com,03-351-6571,http://csr.evaair.com/,http://csr.evaair.com/pages/zh-tw/ch9/download.aspx,https://www.facebook.com/hashtag/%E9%95%B7%E6%A6%AE%E8%88%AA%E7%A9%BA%E8%88%87%E5%A4%A7%E5%AE%B6%E4%B8%80%E5%90%8C%E8%88%AA%E5%90%91%E6%9B%B4%E7%BE%8E%E5%A5%BD%E7%9A%84%E6%9C%AA%E4%BE%86?source=feed_text&story_id=497432150403973,2015長榮航空企業社會責任報告書,企業社會責任報告,企業社會責任委員會,3,124,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,Bureau Veritas,Core(核心）,AA1000,AA 1000第2類型 高度保證等級,1,21,108,"3,201","5,735",0,1,"財團法人張榮發基金會
財團法人張榮發慈善基金會",服務,自願,0
2016,254,122,11,1,0,永捷高分子工業股份有限公司,86123874,化學工業,上櫃,4714,台灣,台南,台南市安定區安加里258之26號,ub1234@ms12.hinet.net,06-6592-0381,"http://www.ubest-polymer.com/?%E6%8A%95%E8%B3%87%E4%BA%BA%E5%B0%88%E5%8D%80,64","http://www.ubest-polymer.com/?%E6%8A%95%E8%B3%87%E4%BA%BA%E5%B0%88%E5%8D%80,64",0,2015企業社會責任報告書,企業社會責任報告,企業社會責任委員會,2,45,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,無驗證單位,無應用等級,無保證標準,無保證等級,1,3,4,41,16,0,0,0,傳產,強制,0
2016,255,123,11,1,0,元大期貨股份有限公司,97179282,金融業,上櫃,6023,台灣,台北,台北市中山區南京東路三段225號11樓、12樓, futures@yuanta.com,02-2717-6000,http://www.yuantafutures.com.tw/pages/content/Report.aspx?Node=c044b16f-4c3b-4523-8406-8a51a7190911&Show=LIST,http://www.yuantafutures.com.tw/pages/content/Frame.aspx?Node=00a78de4-bf51-478d-acd4-3f9d8b8d9d84,https://www.facebook.com/yuanta.yesfriend/,2015年企業社會責任報告書,企業社會責任報告,企業社會責任單位,2,80,2015.01~2015.12,2014,1,GRI G4,金融財務,無驗證單位,無應用等級,無保證標準,無保證等級,1,2,5,192,170,0,1,元大文教基金會,金融,強制,0
2016,256,124,11,1,1,飛宏科技股份有限公司,80510862,電子零組件,上市,2457,台灣,桃園,桃園市龜山區復興三路568號,CSR@phihong.com.tw,03-3277-288,http://www.phihong.com.tw/index.php?route=investors/investorsqiye,http://www.phihong.com.tw/index.php?route=investors/investorsqiye&zeren_type_id=4&zong=1,0,企業社會責任報告書,企業社會責任報告,未註明負責單位,7,89,2015.01~2015.12,2014,1,GRI G4,無使用補充指南,AFNOR,Core(核心）,AA1000,AA 1000第1類型 中度保證等級,1,,,"1,238","1,199",0,0,0,0,自願,0
2016,257,125,11,0,0,菱生精密工業股份有限公司,55625676,半導體,上市,2369,台灣,台中,台中市潭子區南二路五之一號,joycetsai@lingsen.com.tw,04-2533-5120,http://www.lingsen.com.tw/webc/html/csr/csrmain.aspx,http://www.lingsen.com.tw/webc/html/csr/CSR-Report.aspx,0,企業社會責任報告書,企業社會責任報告,高層辦公室（董事長室、總經理室...）,2,67,2014.01~2015.12,2013,2,GRI G4,無使用補充指南,無驗證單位,Core(核心）,無保證標準,無保證等級,1,2,2,"1,037","1,334",1,0,0,0,自願,0
2016,258,126,11,1,0,元太科技工業股份有限公司,22099890,光電業,上櫃,8069,台灣,新竹,新竹市科學工業園區力行一路三號,csr@eink.com,N/A,http://www.einkgroup.com/about_us.php?recordId=574,http://www.einkgroup.com/about_us.php?recordId=577,,"2015
企業社會責任報告書",企業社會責任報告,企業社會責任委員會,2,92,2015.01~2015.12,2014,1,GRI G4,無使用補充指南,無驗證單位,Core(核心）,無保證標準,無保證等級,1,5,8,532,472,0,0,N/A,科技,強制,0
2016,259,127,11,1,0,大統益股份有限公司,20927014,食品工業,上市,1232,台灣,台南,台南市官田區二鎮里工業西路32號,ttet@mail.tett.com.tw,06-6984500 #220,http://www.ttet.com.tw/index.php?temp=info&lang=cht,http://www.ttet.com.tw/index.php?option=module&lang=cht&task=showlist&id=17&index=2,0,2015企業社會責任報告書,企業社會責任報告,高層辦公室（董事長室、總經理室...）,3,76,2015.01~2015.12,2015,1,GRI G4,食品加工,PricewaterhouseCoopers,Core(核心）,ISAE 3000,有限確信 Limited,1,1,3,106,42,0,0,0,食品,自願,1
2016,260,128,11,1,0,泰山企業股份有限公司,59661701,食品工業,上市,1218,台灣,台北,"台北市長安東路二段99 號
10 樓",CSR@taisun.com.tw,02-2506-4152 #9203,http://www.taisun.com.tw/about-csr.aspx,http://www.taisun.com.tw/about-csr-report.aspx,N/A,泰山企業社會責任報告書,企業社會責任報告,企業社會責任委員會,2,107,2015.01~2015.12,2015,1,GRI G4,食品加工,KPMG,Core(核心）,ISAE 3000,有限確信 Limited,1,2,15,346,219,0,1,泰山文化基金會,食品,強制,1
2016,261,129,11,1,1,金像電子(股)公司,30955404,電子零組件,上市,2368,台灣,桃園,桃園市中壢區西園路113號,N/A,N/A,http://www.gce.com.tw/gce_tw/index.html,http://www.gce.com.tw/gce_tw/index.html,0,2015金像電子股份有限公司企業社會責任報告書,企業社會責任報告,企業社會責任單位,4,76,2015.01~2015.12,2015,1,無框架,無使用補充指南,無驗證單位,無應用等級,無保證標準,無保證等級,0,9,12,"1,206","1,210",0,0,0,0,自願,0
2016,262,130,11,1,1,協益電子股份有限公司,35229109,電腦及週邊,上櫃,5356,台灣,新北,新北市三重區重新路五段609巷4號9樓之2,sws@sirtec.com.tw,02-7725-5356,http://www.sirtec.com.tw/index.php?option=com_content&task=view&id=167&Itemid=124,N/A,N/A,協益電子股份有限公司 2015 企業社會責任報告書,企業社會責任報告,企業社會責任單位,5,32,2015.01~2015.12,2014,1,GRI G4,無使用補充指南,無驗證單位,Core(核心）,無保證標準,無保證等級,1,2,8,168,256,0,0,0,0,自願,0
2016,263,131,11,1,1,三陽工業股份有限公司,24004006,汽車工業,上市,2206,台灣,新竹,新竹縣湖口鄉鳳山村中華路3號,csr@sym.com.tw,03-598-1911,http://www.sanyang.com.tw/enterprise/con_show.php?op=showone&cid=6,http://www.sanyang.com.tw/enterprise/con_show.php?op=showone&cid=6,N/A,2015三陽工業企業社會責任報告書,企業社會責任報告,環境安全衛生/ 能源環境,7,68,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,無驗證單位,無應用等級,無保證標準,無保證等級,1,5,N/A,"3,721",696,1,0,0,0,自願,0
2016,264,132,11,0,0,宜鼎國際股份有限公司,27565769,電腦及週邊,上櫃,5289,台灣,新北,新北市汐止區大同路一段237號5樓,InnodiskCSR@innodisk.com,02-7703-3000,http://www.innodisk.com/CorporateSocialResponsibility/CSRreport.aspx?ZGZsX0lEPTAwMg%3d%3d,http://www.innodisk.com/CorporateSocialResponsibility/CSRreport.aspx?ZGZsX0lEPTAwMg%3d%3d,0,2015 宜鼎國際企業社會責任報告,企業社會責任報告,其他單位,1,117,2015.01~2015.12,第一次出版,1,GRI G4,無使用補充指南,無驗證單位,無應用等級,無保證標準,無保證等級,0,5,8,212,251,0,1,宜鼎國際教育基金會,0,自願,0
2016,265,133,11,1,0,旺宏電子股份有限公司,22099548,半導體,上市,2337,台灣,新竹,新竹科學園區力行路16號,pubcsr@maix.com.tw,886-3-5786688,http://www.macronix.com/zh-tw/about/CSR/Pages/default.aspx,http://www.macronix.com/zh-tw/about/CSR/Pages/CSR-report.aspx,N/A,2015旺宏電子社會責任報告書,企業社會責任報告,環境安全衛生/ 能源環境,5,114,2015.01~2015.12,2014,1,GRI G4,無使用補充指南,Bureau Veritas,Core(核心）,AA1000,標示不清楚(聲明書未註明保證等級),1,N/A,N/A,"2,315","1,906",0,1,財團法人旺宏教育基金會,科技,自願,0
2016,266,134,11,1,0,磐亞股份有限公司,5712099,化學工業,上櫃,4707,台灣,台北,台北市新生南路一段50號11樓,popo-lin@pacc.com.tw,02-2351-1212,http://www.pacc.com.tw/tw/Contact.aspx,http://www.pacc.com.tw/tw/Investor_Reportbooks.aspx,0,2015磐亞企業社會責任報告書,企業社會責任報告,企業社會責任單位,2,64,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,無驗證單位,Core(核心）,無保證標準,無保證等級,1,1,2,90,18,0,0,0,傳產,強制,0
2016,267,1,12,1,1,台灣糖業股份有限公司,3794905,食品工業,未上市櫃,1237,台灣,台南,臺南市東區生產路68號,a63562@taisugar.com.tw,06-337-8888#132,http://www.taisugar.com.tw/upload/RelFile/Forms/122/636038445915210000.pdf,http://www.taisugar.com.tw/CSR/FormDownload_Index.aspx?n=10915,https://www.facebook.com/tsccsr,2016永續發展報告書,企業永續報告/永續發展報告,企劃/市場行銷,7,138,2015.01~2015.12,2015,1,GRI G4,食品加工,BSI,Comprehensive（全面）,AA1000,AA 1000第2類型 高度保證等級,1,1,8,"3,429",358,1,0,0,0,自願,1
2016,268,2,12,1,1,宏遠證券股份有限公司,3027502,金融業,上櫃,6015,台灣,台北,台北市信義路4段236號3樓,service.srd@honsec.com.tw,02-7719-8899,0,http://www.honsec.com.tw/HWweb/Content.Files/Securities.Files/other/about_1-3.aspx,0,宏遠證券股份有限公司一○五 業社會責任報告書,企業社會責任報告,未註明負責單位,5,54,2015.01~2015.12,2014,1,GRI G4,無使用補充指南,無驗證單位,無應用等級,無保證標準,無保證等級,1,1,0,190,399,0,0,0,金融,自願,0
2016,269,3,12,1,0,安心食品服務股份有限公司,23928945,觀光事業,上櫃,1259,台灣,台北,台北市中山區松江路156-1號8樓,csr@mos.com.tw,02-2567-5001 #812,http://csr.mos.com.tw/index.html,http://csr.mos.com.tw/download.html,0,2015CSR安心食品服務股份有限公司企業社會責任報告書,企業社會責任報告,企業社會責任委員會,2,86,2015.01~2015.12,2015,1,GRI G4,食品加工,PricewaterhouseCoopers,無應用等級,ISAE 3000,有限確信 Limited,1,1,243,"1,738","3,184",0,0,0,食品,強制,1
2016,270,4,12,1,1,合作金庫金融控股股份有限公司,53021433,金融業,上市,5880,台灣,台北,台北市館前路77號,pr@tcfhc.com.tw,02-2311-8811,http://www.tcfhc.com.tw/corporate_governance/responsibility/Pages/CSR.aspx,http://www.tcfhc.com.tw/corporate_governance/responsibility/Pages/responsibility.aspx,0,合作金庫2015企業社會責任報告書,企業社會責任報告,未註明負責單位,5,68,2015.01~2015.12,2014,1,GRI G4,金融財務,PricewaterhouseCoopers,無應用等級,ISAE 3000,有限確信 Limited,1,8,0,"3,832","5,033",1,0,0,金融,自願,0
2016,271,5,12,1,1,中強光電股份有限公司,22099907,光電業,上櫃,5371,台灣,新竹,新竹科學工業園區新竹市東區力行路11號,CSR@coretronic.com,03-577-2000 #1500,http://www.coretronic.com/company04.php,http://www.coretronic.com/company04.php?p_no=147,0,2015中強光電企業社會責任報告書,企業社會責任報告,未註明負責單位,8,131,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,SGS,Core(核心）,AA1000,AA 1000第1類型 中度保證等級,1,10,22,"1,018",825,0,1,中強光電文化藝術基金會,0,自願,0
2016,272,6,12,1,0,日友環保科技股份有限公司,89922041,其他,上市,8341,台灣,雲林,雲林縣元長鄉元東路1之20號,kawa@sunnyfriend.com.tw,05-788-5788 #510,0,http://www.sunnyfriend.com.tw/SF/images/CSR-%20103Y.pdf,0,企業社會責任報告書,企業社會責任報告,其他單位,2,97,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,無驗證單位,Core(核心）,無保證標準,無保證等級,1,1,2,147,48,0,0,0,0,自願,0
2016,273,8,12,1,0,全家便利商店股份有限公司,23060248,貿易百貨,上櫃,5903,台灣,台北,台北市中山北路61號7樓,smila@family.com.tw,02-2523-9588 #6240,http://www.family.com.tw/newenterprise/csr/index/index,http://www.family.com.tw/newenterprise/csr/CsrreportIndex/Report?id=0009,0,2015企業社會責任報告書,企業社會責任報告,企劃/市場行銷,2,106,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,PricewaterhouseCoopers,Core(核心）,ISAE 3000,有限確信 Limited,1,1,2986,"2,958","2,578",0,0,0,食品,強制,1
2016,274,9,12,1,1,中華開發金融控股股份有限公司,70827383,金融業,上市,2883,台灣,台北,台北市南京東路五段125號12樓,ir@cdibh.com,02-2753-2201,http://www.cdibh.com/chhtml/content/13,http://www.cdibh.com/chhtml/content/332,0,中華開發金融控股公司2015年企業社會責任報告書,企業社會責任報告,企業社會責任委員會,5,121,2015.01~2015.12,2015,1,GRI G4,金融財務,BSI,Core(核心）,AA1000,AA 1000第1類型 中度保證等級,1,1,N/A,"2,153","3,729",1,1,"財團法人凱基社會福利慈善基金會
財團法人中華開發工業銀行文教基金會",金融,自願,0
2016,275,10,12,1,1,南山人壽保險股份有限公司,11456006,金融業,未上市櫃,5874,台灣,台北,台北市信義區莊敬路168號,NS-PR@NANSHAN.com.tw,02-8758-8888,https://www.nanshanlife.com.tw/PublicWeb/CSR/pdf/2015NanShan-CSR-Report.pdf,https://www.nanshanlife.com.tw/NanshanWeb/static/?p=../PublicWeb/CSR/report.html,0,2015南山人壽企業社會責任報告書,企業社會責任報告,品牌/公共關係,3,100,2015.01~2015.12,2015,1,GRI G4,金融財務,SGS,Core(核心）,AA1000,AA 1000第1類型 中度保證等級,1,1,25,"1,403","2,497",0,1,南山人壽慈善基金會,0,自願,0
2016,276,11,12,1,0,康普材料科技股份有限公司,86757124,化學工業,上市,4739,台灣,新竹,新竹縣新竹工業區文化路11號, info@coremaxcorp.com,(03)598-3101,http://www.coremaxcorp.com/csr_c.htm,http://www.coremaxcorp.com/PDF/2015_CSR.pdf,0,康普材料科技股份有限公司企業社會責任報告,企業社會責任報告,未註明負責單位,2,77,2015.01~2015.12,2014,1,GRI G4,無使用補充指南,無驗證單位,Core(核心）,無保證標準,無保證等級,1,5,10,67,19,0,0,0,傳產,強制,0
2016,277,12,12,1,1,住華科技股份有限公司,70848177,化學工業,外商,N/A,台灣,台南,台南市善化區環東路二段32號,csr@sumika.com.tw,6505-3456#61126,https://www.sumika.com.tw/,https://www.sumika.com.tw/,0,2015 住華科技企業社會責任書,企業社會責任報告,人力資源相關單位,8,92,2015.04~2016.03,2015,1,GRI G4,無使用補充指南,BSI,Core(核心）,AA1000,AA 1000第1類型 中度保證等級,1,1,4,"1,290","1,054",0,0,0,0,自願,0
2016,278,13,12,1,1,台北金融大樓股份有限公司,16095410,其他,未上市櫃,2899,台灣,台北,台北市110 信義路5 段7 號59 樓,CSR@tfc101.com.tw,02-8101-8813,http://csr.taipei-101.com.tw/tw/index.php,http://csr.taipei-101.com.tw/tw/CSRReport_Download.php,0,Taipei 101 企業社會責任報告書,企業社會責任報告,永續發展委員會,4,158,2015.01~2015.12,2014,1,GRI G4,建築與不動產,KPMG,Core(核心）,ISAE 3000,有限確信 Limited,1,1,1,130,179,0,0,0,0,自願,0
2016,279,14,12,1,0,臺灣銀行股份有限公司,3557311,金融業,未上市櫃,5858,台灣,台北,臺北市重慶南路一段120號,bot097@mail.bot.com.tw,02-2349-3844,http://www.bot.com.tw/Governance/Pages/default.aspx,http://www.bot.com.tw/Governance/Pages/Governance1.aspx,0,2015臺灣銀行企業社會責任報告書,企業社會責任報告,企劃/市場行銷,4,63,2015.01~2015.12,2015,1,GRI G4,金融財務,無驗證單位,Core(核心）,無保證標準,無保證等級,0,10,176,"3,104","4,100",1,0,0,0,自願,0
